symbol,date,quality_score
CSCO,2015-07-25,0.25
CSCO,2016-07-30,0.25
CSRA,2015-04-03,0.9999999327370328
CSRA,2016-04-01,0.25
CSX,2013-12-31,0.4958360036906247
CSX,2014-12-26,0.25
CSX,2015-12-25,0.25
CSX,2016-12-30,0.25
CTAS,2013-05-31,0.43609236141895263
CTAS,2014-05-31,0.46184652205210486
CTAS,2015-05-31,0.7035977151735988
CTAS,2016-05-31,0.6924028925922688
CTL,2012-12-31,0.4299939615995097
CTL,2013-12-31,0.4592237777025745
CTL,2014-12-31,0.5077695650130997
CTL,2015-12-31,0.7468401479861879
CTSH,2012-12-31,0.6667711189673069
CTSH,2013-12-31,0.6088461303582636
CTSH,2014-12-31,0.548892244127047
CTSH,2015-12-31,0.8120533563234382
CTXS,2013-12-31,0.46850610769673984
CTXS,2014-12-31,0.4956731230658344
CTXS,2015-12-31,0.7423581092533056
CTXS,2016-12-31,0.46260339727089966
CVS,2013-12-31,0.5060357727833947
CVS,2014-12-31,0.5878825131943094
CVS,2015-12-31,0.7352347605063331
CVS,2016-12-31,0.5969948649889343
CVX,2012-12-31,0.5437084634105294
CVX,2013-12-31,0.4879125295046904
CVX,2014-12-31,0.477226959789505
CVX,2015-12-31,0.6679170576132756
CXO,2012-12-31,0.4786127256732767
CXO,2013-12-31,0.48836344408697707
CXO,2014-12-31,0.5346177436401132
CXO,2015-12-31,0.7260900365404779
D,2012-12-31,0.4409670192629795
D,2013-12-31,0.47770572270235423
D,2014-12-31,0.4904095045715209
D,2015-12-31,0.7396092894249408
DAL,2013-12-31,0.4261920387255009
DAL,2014-12-31,0.5011353799386402
DAL,2015-12-31,0.780124324304529
DAL,2016-12-31,0.5175532806730612
DD,2013-12-31,0.4335262595461271
DD,2014-12-31,0.5004950259854825
DD,2015-12-31,0.7533307053305431
DD,2016-12-31,0.4811168166671197
DE,2013-10-31,0.44950593513961284
DE,2014-10-31,0.8006743926605683
DE,2015-10-31,0.25715699407379683
DE,2016-10-31,0.13988074545428691
DFS,2012-11-30,0.3333333333333333
DFS,2013-12-31,0.43138894958722407
DFS,2014-12-31,0.43986101995976545
DFS,2015-12-31,0.7091796943608726
DG,2013-02-01,0.9999998673777154
DG,2014-01-31,0.7826097624218823
DG,2015-01-30,0.5000004999188257
DG,2016-01-29,0.7499996757834378
DGX,2012-12-31,0.5145962958595558
DGX,2013-12-31,0.5533647053013445
DGX,2014-12-31,0.5288790503301108
DGX,2015-12-31,0.7857145268397053
DHI,2013-09-30,0.36865019747124744
DHI,2014-09-30,0.29569600577471566
DHI,2015-09-30,0.6275316229401737
DHI,2016-09-30,0.5034192573568244
DHR,2012-12-31,0.48236654772351767
DHR,2013-12-31,0.49812435734621396
DHR,2014-12-31,0.5275189951560844
DHR,2015-12-31,0.7301393246949534
DIS,2013-09-28,0.50286713213204
DIS,2014-09-27,0.6890247517155146
DIS,2015-10-03,0.7499999223172559
DIS,2016-10-01,0.9999998398905747
DISCA,2013-12-31,0.519593454910588
DISCA,2014-12-31,0.5674774556277022
DISCA,2015-12-31,0.7756152694688836
